('Handmade Soft Pants', 'azure', '313.00', 103, true, '2017-08-08'),
('Sleek Fresh Chips', 'olive', '19.00', 864, true, '2017-08-08'),
('Licensed Granite Ball', 'magenta', '727.00', 170, true, '2017-08-08'),
('Awesome Rubber Chips', 'blue', '436.00', 729, false, '2017-08-08'),
('Handcrafted Rubber Cheese', 'salmon', '538.00', 219, true, '2017-08-08'),
('Rustic Cotton Fish', 'yellow', '74.00', 438, false, '2017-08-08'),
('Unbranded Steel Sausages', 'olive', '177.00', 14, false, '2017-08-08'),
('Handmade Wooden Tuna', 'purple', '354.00', 714, false, '2017-08-08'),
('Awesome Wooden Bike', 'indigo', '538.00', 774, true, '2017-08-08'),
('Handcrafted Rubber Chair', 'turquoise', '443.00', 701, false, '2017-08-08'),
('Gorgeous Soft Salad', 'white', '487.00', 917, true, '2017-08-08'),
('Gorgeous Metal Fish', 'turquoise', '372.00', 551, true, '2017-08-08'),
('Handmade Metal Car', 'olive', '842.00', 574, true, '2017-08-08'),
('Small Cotton Cheese', 'olive', '74.00', 108, false, '2017-08-08'),
('Awesome Plastic Cheese', 'mint green', '37.00', 828, false, '2017-08-08'),
('Fantastic Fresh Car', 'blue', '360.00', 21, false, '2017-08-08'),
('Intelligent Wooden Chair', 'teal', '879.00', 714, true, '2017-08-08'),
('Fantastic Frozen Cheese', 'white', '45.00', 564, false, '2017-08-08'),
('Ergonomic Cotton Towels', 'white', '81.00', 272, true, '2017-08-08'),
('Incredible Concrete Soap', 'plum', '833.00', 0, true, '2017-08-08'),
('Fantastic Cotton Tuna', 'maroon', '237.00', 366, true, '2017-08-08'),
('Rustic Wooden Chair', 'orange', '485.00', 317, false, '2017-08-08'),
('Fantastic Granite Gloves', 'lime', '635.00', 894, true, '2017-08-08'),
('Licensed Metal Mouse', 'plum', '144.00', 679, false, '2017-08-08'),
('Rustic Wooden Tuna', 'tan', '269.00', 978, false, '2017-08-08'),
('Sleek Metal Gloves', 'sky blue', '985.00', 846, false, '2017-08-08'),
('Handcrafted Cotton Salad', 'salmon', '76.00', 793, true, '2017-08-08'),
('Rustic Fresh Ball', 'mint green', '57.00', 589, true, '2017-08-08'),
('Unbranded Plastic Chips', 'azure', '462.00', 919, false, '2017-08-08'),
('Licensed Plastic Bacon', 'mint green', '82.00', 517, true, '2017-08-08'),
('Ergonomic Plastic Soap', 'red', '708.00', 700, true, '2017-08-08'),
('Awesome Concrete Sausages', 'gold', '389.00', 936, false, '2017-08-08'),
('Generic Granite Sausages', 'purple', '256.00', 99, false, '2017-08-08'),
('Generic Metal Chair', 'lavender', '29.00', 431, false, '2017-08-08'),
('Awesome Steel Tuna', 'white', '223.00', 312, false, '2017-08-08'),
('Sleek Plastic Car', 'indigo', '292.00', 707, true, '2017-08-08'),
('Handcrafted Rubber Chips', 'green', '807.00', 643, false, '2017-08-08'),
('Intelligent Concrete Table', 'grey', '732.00', 945, true, '2017-08-08'),
('Refined Wooden Gloves', 'magenta', '56.00', 68, false, '2017-08-08'),
('Unbranded Steel Tuna', 'gold', '134.00', 118, true, '2017-08-08'),
('Practical Wooden Tuna', 'black', '632.00', 7, true, '2017-08-08'),
('Handcrafted Cotton Chips', 'turquoise', '822.00', 939, true, '2017-08-08'),
('Rustic Rubber Keyboard', 'teal', '792.00', 37, true, '2017-08-08'),
('Tasty Fresh Salad', 'orange', '69.00', 290, false, '2017-08-08'),
('Gorgeous Steel Pants', 'maroon', '932.00', 568, true, '2017-08-08'),
('Incredible Steel Fish', 'azure', '389.00', 680, false, '2017-08-08'),
('Ergonomic Rubber Chair', 'yellow', '480.00', 553, false, '2017-08-08'),
('Intelligent Cotton Fish', 'fuchsia', '686.00', 703, false, '2017-08-08'),
('Gorgeous Rubber Salad', 'indigo', '828.00', 699, true, '2017-08-08'),
('Tasty Frozen Chair', 'tan', '603.00', 35, false, '2017-08-08'),
('Gorgeous Steel Computer', 'silver', '62.00', 91, true, '2017-08-08'),
('Refined Soft Sausages', 'red', '663.00', 164, true, '2017-08-08'),
('Generic Fresh Cheese', 'fuchsia', '905.00', 898, true, '2017-08-08'),
('Handcrafted Granite Soap', 'yellow', '633.00', 301, false, '2017-08-08'),
('Refined Plastic Pizza', 'azure', '613.00', 146, true, '2017-08-08'),
('Generic Rubber Chips', 'mint green', '898.00', 81, true, '2017-08-08'),
('Ergonomic Fresh Car', 'violet', '81.00', 187, true, '2017-08-08'),
('Small Frozen Computer', 'purple', '677.00', 28, false, '2017-08-08'),
('Tasty Cotton Salad', 'cyan', '213.00', 229, false, '2017-08-08'),
('Awesome Plastic Fish', 'sky blue', '161.00', 783, false, '2017-08-08'),
('Handcrafted Frozen Chips', 'silver', '546.00', 80, true, '2017-08-08'),
('Sleek Plastic Table', 'mint green', '241.00', 104, true, '2017-08-08'),
('Awesome Wooden Bike', 'gold', '227.00', 321, false, '2017-08-08'),
('Licensed Concrete Mouse', 'sky blue', '802.00', 632, false, '2017-08-08'),
('Unbranded Plastic Pizza', 'blue', '895.00', 185, false, '2017-08-08'),
('Refined Frozen Soap', 'orange', '2.00', 781, false, '2017-08-08'),
('Licensed Concrete Bike', 'white', '14.00', 246, true, '2017-08-08'),
('Tasty Wooden Keyboard', 'white', '1000.00', 942, true, '2017-08-08'),
('Ergonomic Cotton Car', 'magenta', '376.00', 715, false, '2017-08-08'),
('Handcrafted Steel Shoes', 'gold', '767.00', 972, false, '2017-08-08'),
('Sleek Metal Tuna', 'turquoise', '730.00', 537, false, '2017-08-08'),
('Gorgeous Granite Cheese', 'grey', '655.00', 748, true, '2017-08-08'),
('Intelligent Rubber Sausages', 'tan', '411.00', 485, true, '2017-08-08'),
('Ergonomic Concrete Shoes', 'silver', '916.00', 140, false, '2017-08-08'),
('Awesome Plastic Chair', 'cyan', '587.00', 368, false, '2017-08-08'),
('Fantastic Plastic Cheese', 'lime', '77.00', 118, true, '2017-08-08'),
('Gorgeous Steel Shoes', 'indigo', '700.00', 532, true, '2017-08-08'),
('Gorgeous Frozen Salad', 'turquoise', '992.00', 537, false, '2017-08-08'),
('Handcrafted Plastic Car', 'plum', '621.00', 608, false, '2017-08-08'),
('Fantastic Metal Towels', 'tan', '909.00', 625, false, '2017-08-08'),
('Practical Rubber Keyboard', 'azure', '271.00', 132, true, '2017-08-08'),
('Rustic Metal Pizza', 'grey', '197.00', 729, true, '2017-08-08'),
('Fantastic Metal Bacon', 'cyan', '22.00', 939, false, '2017-08-08'),
('Gorgeous Steel Tuna', 'olive', '35.00', 837, false, '2017-08-08'),
('Refined Granite Shoes', 'grey', '966.00', 300, true, '2017-08-08'),
('Practical Plastic Salad', 'teal', '710.00', 39, false, '2017-08-08'),
('Gorgeous Fresh Keyboard', 'grey', '743.00', 617, false, '2017-08-08'),
('Rustic Wooden Sausages', 'salmon', '409.00', 110, true, '2017-08-08'),
('Generic Steel Shoes', 'purple', '815.00', 890, false, '2017-08-08'),
('Intelligent Steel Shoes', 'ivory', '613.00', 780, true, '2017-08-08'),
('Gorgeous Steel Computer', 'tan', '76.00', 504, false, '2017-08-08'),
('Handmade Frozen Computer', 'green', '691.00', 848, false, '2017-08-08'),
('Ergonomic Granite Cheese', 'ivory', '580.00', 348, true, '2017-08-08'),
('Tasty Concrete Fish', 'black', '638.00', 461, false, '2017-08-08'),
('Awesome Concrete Tuna', 'magenta', '53.00', 655, false, '2017-08-08'),
('Tasty Fresh Computer', 'red', '474.00', 420, false, '2017-08-08'),
('Intelligent Plastic Towels', 'indigo', '220.00', 1, true, '2017-08-08'),
('Practical Steel Chips', 'purple', '557.00', 167, false, '2017-08-08'),
('Tasty Rubber Bacon', 'grey', '685.00', 9, false, '2017-08-08'),
('Ergonomic Fresh Towels', 'cyan', '21.00', 349, true, '2017-08-08'),
('Intelligent Cotton Salad', 'turquoise', '303.00', 948, true, '2017-08-08'),
('Unbranded Rubber Pants', 'ivory', '339.00', 270, true, '2017-08-08'),
('Handcrafted Plastic Shoes', 'grey', '946.00', 250, false, '2017-08-08'),
('Gorgeous Plastic Hat', 'white', '245.00', 132, true, '2017-08-08'),
('Licensed Plastic Pants', 'magenta', '256.00', 343, true, '2017-08-08'),
('Intelligent Cotton Gloves', 'olive', '786.00', 986, true, '2017-08-08'),
('Rustic Wooden Table', 'green', '363.00', 861, false, '2017-08-08'),
('Incredible Granite Soap', 'mint green', '589.00', 436, false, '2017-08-08'),
('Unbranded Rubber Towels', 'cyan', '817.00', 642, false, '2017-08-08'),
('Tasty Metal Pizza', 'salmon', '332.00', 951, false, '2017-08-08'),
('Handcrafted Frozen Tuna', 'green', '527.00', 113, false, '2017-08-08'),
